"Rank","Release_Group","Worldwide_Gross","Domestic_Gross","Domestic_Percent","Foreign_Gross","Foreign_Percent","Year","Genres","Rating","Vote_Count","Original_Language","Production_Countries","Release Date","Description","No_of_Persons_Voted","Directed by","Written by","Duration","hours","minutes","Duration_min","Year_Group","Genre_Simplified","avg_rating","avg_gross","Quadrant"
27,"Scream 3",161834276,89143175,55.1,72691101,44.9,2000,"Horror, Mystery",5.985,3610,"en","United States of America","Feb 4, 2000","Stars Neve Campbell, David Arquette and Courtney Cox Arquette are back for more in the chilling final chapter of this phenomenally popular and frightfully entertaining trilogy. While Sydney Prescott (Campbell) lives in safely guarded seclusion, bodies begin dropping around the Hollywood set of ""Stab 3,"" the latest movie sequel based on the gruesome Woodsboro killings.",648,"Wes Craven","Kevin Williamson, Ehren Kruger","1 h 56 m",1,56,116,"2000-2008","Mystery",6.54830329153605,156739315.50209,"Low Rating & High Gross"
28,"Chocolat",152699946,71509363,46.8,81190583,53.2,2000,"Comedy, Drama, Romance",7,3279,"en","United States of America","May 1, 1989","A French woman returns to her childhood home in Cameroon - formerly a colonial outpost - where she's flooded by memories, particularly of Protée, her servant.",109,"Lasse Hallström","Joanne Harris, Robert Nelson Jacobs","2 h 1 m",2,1,121,"2000-2008","Comedy",6.54830329153605,156739315.50209,"High Rating & Low Gross"
28,"Chocolat",152699946,71509363,46.8,81190583,53.2,2000,"Comedy, Drama, Romance",7,3279,"en","United States of America","May 1, 1989","A French woman returns to her childhood home in Cameroon - formerly a colonial outpost - where she's flooded by memories, particularly of Protée, her servant.",109,"Lasse Hallström","Joanne Harris, Robert Nelson Jacobs","2 h 1 m",2,1,121,"2000-2008","Comedy",6.54830329153605,156739315.50209,"High Rating & Low Gross"
28,"Chocolat",152699946,71509363,46.8,81190583,53.2,2000,"Comedy, Drama, Romance",7,3279,"en","United States of America","Dec 15, 2000","When Vianne (Binoche), a mysterious stranger, and her child arrive in a tranquil French town in the winter of 1959, nobody could have imagined the impact that she and her spirited daughter would have on this community stubbornly rooted in tradition.   (Miramax Films)",109,"Lasse Hallström","Joanne Harris, Robert Nelson Jacobs","2 h 1 m",2,1,121,"2000-2008","Comedy",6.54830329153605,156739315.50209,"High Rating & Low Gross"
28,"Chocolat",152699946,71509363,46.8,81190583,53.2,2000,"Comedy, Drama, Romance",7,3279,"en","United States of America","Dec 15, 2000","When Vianne (Binoche), a mysterious stranger, and her child arrive in a tranquil French town in the winter of 1959, nobody could have imagined the impact that she and her spirited daughter would have on this community stubbornly rooted in tradition.   (Miramax Films)",109,"Lasse Hallström","Joanne Harris, Robert Nelson Jacobs","2 h 1 m",2,1,121,"2000-2008","Comedy",6.54830329153605,156739315.50209,"High Rating & Low Gross"
30,"The Beach",144056873,39785027,27.6,104271846,72.4,2000,"Drama, Adventure, Romance, Thriller",6.483,4351,"en","United Kingdom, United States of America","Feb 11, 2000","Richard (DiCaprio) is a young American backbacker who arrives in Thailand seeking to connect with something or someone ""real.""  When a crazy neighbor (Carlyle) in his hotel offers him a mysterious map to a legendary beach paradise off the coast, he jumps at the chance and urges a French couple to join him.  The explorers discover a mysterious colony of travelers sworn to protect a secret which may destroy the new found paradise.",262,"Danny Boyle","John Hodge, Alex Garland","1 h 59 m",1,59,119,"2000-2008","Adventure",6.54830329153605,156739315.50209,"Low Rating & Low Gross"
31,"Remember the Titans",136706683,115654751,84.6,21051932,15.4,2000,"Drama",7.636,2671,"en","United States of America","Sep 29, 2000","In 1971 high school football was everything to the people of Alexandria, Virginia. But when the local school board was forced to integrate an all black school with an all white school, the very foundation of football's great tradition was put to the test.  (Walt Disney Pictures)",121,"Boaz Yakin","Gregory Allen Howard","1 h 53 m",1,53,113,"2000-2008","Drama",6.54830329153605,156739315.50209,"High Rating & Low Gross"
32,"Pokémon the Movie 2000",133949270,43758684,32.7,90190586,67.3,2000,"Adventure, Fantasy, Animation, Science Fiction, Family",6.687,847,"ja","Japan","Jul 21, 2000","Good forces try to stop Lugia, whose power could destroy the world.",113,"Kunihiko Yuyama","Satoshi Tajiri, Takeshi Shudô","1 h 20 m",1,20,80,"2000-2008","Adventure",6.54830329153605,156739315.50209,"High Rating & Low Gross"
33,"Space Cowboys",128884132,90464773,70.2,38419359,29.8,2000,"Action, Adventure, Thriller",6.4,1357,"en","United States of America","Aug 4, 2000","In the 1950's, one of the first satellites was launched.  Today, it is malfunctioning and threatening the Earth, and the original astronaut (Eastwood) is asked to go and do repairs.  He wants three old air force buddies to go with him into space for the last time and fix it.",63,"Clint Eastwood","Ken Kaufman, Howard Klausner","2 h 10 m",2,10,130,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & Low Gross"
34,"U-571",127666415,77122415,60.4,50544000,39.6,2000,"War, Action, Adventure",6.494,1223,"en","France, Italy, United States of America","Apr 21, 2000","A team of American seamen, disguised as soldiers on a German rescue submarine, sneak aboard a disabled German U-Boat in an attempt to capture the Enigma machine, a master encryption device which has enabled Axis forces to execute maritime attacks without fear of interference or interception by the Allies.",49,"Jonathan Mostow","Jonathan Mostow, Sam Montgomery, David Ayer","1 h 56 m",1,56,116,"2000-2008","Action",6.54830329153605,156739315.50209,"Low Rating & Low Gross"
35,"The Family Man",124745083,75793305,60.8,48951778,39.2,2000,"Comedy, Drama, Romance, Fantasy",6.796,1974,"en","United States of America","Dec 22, 2000","In this romantic comedy drama about life's possibilities, Jack Campbell (Cage) must choose between a his glamorous, fast-paced career or life as a suburban husband and father.  (Universal Pictures)",214,"Brett Ratner","David Diamond, David Weissman","2 h 5 m",2,5,125,"2000-2008","Fantasy",6.54830329153605,156739315.50209,"High Rating & Low Gross"
36,"Road Trip",119754278,68540777,57.2,51213501,42.8,2000,"Comedy, Adventure",6.196,1939,"en","United States of America","May 19, 2000","Josh, a college student, videotapes an incident with a coed and someone actually mails the tape to his girlfriend, after which Josh tows two of his college buddies and one not-so-eager kid on a wild 1,800 mile road trip from Ithaca to Austin to save his lifelong romance.",97,"Todd Phillips","Todd Phillips, Scot Armstrong","1 h 33 m",1,33,93,"2000-2008","Adventure",6.54830329153605,156739315.50209,"Low Rating & Low Gross"
37,"Coyote Ugly",113916474,60786269,53.4,53130205,46.6,2000,"Comedy, Drama, Music, Romance",6.3,2081,"en","United States of America","Aug 4, 2000","Graced with a velvet voice, 21-year-old Violet Sanford (Perabo) heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly.  (Touchstone Pictures)",44,"David McNally","Gina Wendkos","1 h 40 m",1,40,100,"2000-2008","Comedy",6.54830329153605,156739315.50209,"Low Rating & Low Gross"
38,"Final Destination",112880294,53331147,47.2,59549147,52.8,2000,"Horror",6.6,5632,"en","United States of America","Mar 17, 2000","Death is coming and Alex Browning (Sawa) is blessed with the curse of knowing when, how and where the grim reaper will strike.  (New Line Cinema)",753,"James Wong","Glen Morgan, James Wong, Jeffrey Reddick","1 h 38 m",1,38,98,"2000-2008","Horror",6.54830329153605,156739315.50209,"High Rating & Low Gross"
